papername,papercite,year,category,planner,creator,critic,context_manager,data_profiling,data_integration,data_transformation,spacial_substrate,graphical_elements,graphical_properties,spacial_navigation,hierarchy_drilling,multi_view,annotation,summarization,storytelling,multi_term_dialogue,multi_modality
NL4DV-Stylist,ji2025NL4DVStylistStylingData,2025,L2,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
Prompt4Vis,li2024Prompt4VisPromptingLarge,2025,L2,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
nvAgent,ouyang2025NvAgentAutomatedData,2025,L3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
SUPQA,huang2025SUPQALLMbasedGeoVisualization,2025,L2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
DataVisT5,wan2025DataVisT5PretrainedLanguage,2025,L1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1
Aggarwal et al.,aggarwal2025GoalDrivenDataStory,2025,L2,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1
C2,koh2025C^2ScalableAutoFeedback,2025,L3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0
Plume,lisnic2025PlumeScaffoldingText,2025,L3,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0
Jupybara,wang2025JupybaraOperationalizingDesign,2025,L2,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1
Data Formulator 2,wang2025DataFormulator2,2025,L2,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1
HARVis,shi2025AugmentingRealisticCharts,2025,L1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1
Pluto,srinivasan2025PlutoAuthoringSemantically,2025,L2,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1
DeepVis,shuai2025DeepVISBridgingNatural,2025,L3,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1
